CGPA,Skills,Interest,Career,Age,Gender,Location,Highest_Qualification,Stream,Academic_Level,Soft_Skills,Languages_Known,Certifications,Preferred_Work_Style,Work_Type_Interest,Past_Jobs_Internships,Achievements,Skills_Gained,Willing_to_Relocate
5.242,"React, Python",Cybersecurity,Security Engineer,23,Male,Bangalore,M.Tech,Commerce,Working Professional,"Problem Solving, Teamwork",Tamil,GCP,Hybrid,Analytical,Research Assistant,Awarded Best Project,Problem Solving,No
9.189,"C++, Python, JavaScript",Cybersecurity,Ethical Hacker,21,Other,Chennai,M.Tech,Mechanical,Student,"Communication, Problem Solving, Creativity",Marathi,,Hybrid,Creative,Part-time Job,Published Paper,Project Management,No
9.594,"Python, React",Software Development,Frontend Developer,23,Female,Chennai,MCA,Mechanical,Graduate,"Time Management, Communication, Creativity",Hindi,"AWS, Data Science",Field Work,Analytical,Part-time Job,Hackathon Winner,Teamwork,No
7.776999999999999,"Node.js, SQL",Design,UI/UX Designer,19,Male,Pune,12th,EEE,Student,"Creativity, Teamwork","English, Telugu",GCP,Office,Analytical,Freelance Project,Top Performer,Problem Solving,No
6.165,"Data Analysis, JavaScript",AI/ML,AI Researcher,27,Other,Delhi,MBA,CSE,Working Professional,Problem Solving,"Kannada, English","Full Stack Development, Machine Learning",Field Work,Creative,Part-time Job,Hackathon Winner,Data Analysis,Yes
5.2509999999999994,"Node.js, Java",Data Science,Business Analyst,21,Female,Amalapuram,MBA,IT,Graduate,"Leadership, Time Management, Teamwork",English,Python,Field Work,Creative,Freelance Project,Awarded Best Project,Teamwork,No
5.447,JavaScript,Management,Business Manager,27,Male,Mumbai,10th,IT,Working Professional,"Teamwork, Time Management, Communication",Kannada,,Office,Social,Freelance Project,Employee of the Month,Problem Solving,No
7.503,"React, HTML/CSS, C++",Cybersecurity,Security Engineer,22,Female,Mumbai,M.Sc,CSE,Student,Creativity,"Hindi, Marathi","Machine Learning, GCP",Remote,Social,Freelance Project,Top Performer,Problem Solving,Yes
8.144,C++,Data Science,Data Analyst,28,Male,Hyderabad,M.Sc,Commerce,Student,"Leadership, Problem Solving",Telugu,Full Stack Development,Field Work,Analytical,Startup Experience,Employee of the Month,Problem Solving,No
7.503,Java,Design,UI/UX Designer,28,Male,Hyderabad,MCA,CSE,Working Professional,Leadership,Marathi,,Office,Social,Startup Experience,Hackathon Winner,Problem Solving,Yes
6.056,"Data Analysis, React",Software Development,Backend Developer,22,Female,Chennai,12th,CSE,Working Professional,"Creativity, Leadership",English,Machine Learning,Remote,Technical,,Employee of the Month,Project Management,Yes
8.262,"Node.js, C++, JavaScript",Marketing,Marketing Executive,25,Male,Amalapuram,B.Sc,ECE,Student,"Communication, Leadership","Kannada, Marathi","AWS, Azure",Field Work,Technical,,Hackathon Winner,Programming,Yes
9.719,Java,Design,Product Designer,22,Female,Hyderabad,10th,Commerce,Working Professional,"Time Management, Leadership","Kannada, Hindi",,Field Work,Creative,Internship at XYZ,Published Paper,Project Management,Yes
7.290000000000001,React,Data Science,Data Analyst,30,Other,Hyderabad,10th,IT,Graduate,"Communication, Problem Solving",Marathi,,Office,Technical,Research Assistant,,Programming,No
5.475,"React, Java, JavaScript",Design,Graphic Designer,25,Female,Hyderabad,B.Sc,IT,Student,"Creativity, Leadership, Teamwork",English,Machine Learning,Remote,Analytical,,,Project Management,Yes
8.594,React,Design,Graphic Designer,27,Other,Chennai,12th,Civil,Graduate,"Teamwork, Creativity, Time Management",Tamil,AWS,Office,Creative,Internship at XYZ,Employee of the Month,Data Analysis,No
7.295999999999999,"SQL, Data Analysis, Node.js",Data Science,Data Analyst,23,Female,Chennai,12th,CSE,Graduate,Problem Solving,Kannada,,Office,Technical,Startup Experience,Awarded Best Project,Programming,No
7.302,"SQL, Java",Management,Operations Manager,18,Other,Amalapuram,MBA,IT,Working Professional,"Communication, Creativity","Kannada, English","Machine Learning, Data Science",Office,Social,,Hackathon Winner,Leadership,Yes
8.581,"Python, C++",Design,Product Designer,20,Male,Hyderabad,B.Sc,ECE,Graduate,Teamwork,Telugu,,Hybrid,Social,Part-time Job,Awarded Best Project,Programming,Yes
9.398,"Java, Python, SQL",Management,Business Manager,20,Male,Hyderabad,MBA,EEE,Graduate,Teamwork,"Tamil, English","Data Science, AWS",Hybrid,Creative,Research Assistant,Published Paper,Problem Solving,Yes
5.996,"JavaScript, C++",Management,Business Manager,28,Other,Amalapuram,B.Tech,EEE,Graduate,"Teamwork, Time Management, Leadership",Hindi,Data Science,Hybrid,Technical,Internship at XYZ,Top Performer,Teamwork,No
5.675,Data Analysis,Marketing,Marketing Executive,26,Female,Vizag,M.Sc,BBA,Student,"Communication, Creativity",Telugu,Python,Field Work,Social,Internship at XYZ,Hackathon Winner,Problem Solving,Yes
9.136,"Data Analysis, React, Node.js",Data Science,Data Analyst,27,Other,Delhi,MBA,ECE,Working Professional,"Teamwork, Creativity",Kannada,"Full Stack Development, Python",Field Work,Analytical,Internship at XYZ,Top Performer,Teamwork,Yes
9.712,SQL,AI/ML,Machine Learning Engineer,25,Female,Chennai,MCA,Mechanical,Student,"Problem Solving, Communication","English, Marathi",GCP,Hybrid,Social,Part-time Job,Awarded Best Project,Data Analysis,Yes
9.844,"Node.js, SQL, C++",Management,Operations Manager,28,Female,Mumbai,M.Sc,CSE,Working Professional,"Time Management, Leadership","Tamil, English",Azure,Office,Social,,Top Performer,Project Management,No
5.8100000000000005,"C++, Python, Node.js",Design,Graphic Designer,28,Other,Hyderabad,12th,EEE,Student,"Leadership, Time Management, Creativity","Hindi, Kannada",,Field Work,Technical,Research Assistant,Employee of the Month,Leadership,No
9.559999999999999,Data Analysis,Management,Business Manager,22,Male,Pune,B.Sc,ECE,Student,"Leadership, Time Management","Kannada, English",,Hybrid,Technical,Part-time Job,,Problem Solving,No
5.861,"React, Python, SQL",Marketing,Digital Marketing Specialist,24,Other,Vizag,MCA,Commerce,Student,Leadership,"Tamil, Kannada",,Field Work,Technical,Part-time Job,Top Performer,Teamwork,Yes
9.857,"C++, HTML/CSS, JavaScript",Cybersecurity,Cybersecurity Analyst,25,Other,Bangalore,M.Tech,CSE,Graduate,"Time Management, Communication","Hindi, Kannada","Python, Full Stack Development",Field Work,Analytical,Freelance Project,Awarded Best Project,Problem Solving,Yes
9.812000000000001,"C++, React, Python",Marketing,SEO Analyst,28,Other,Vizag,M.Sc,EEE,Student,"Leadership, Teamwork","Marathi, Tamil",AWS,Office,Technical,,Top Performer,Data Analysis,Yes
5.523,Java,Cybersecurity,Security Engineer,24,Male,Mumbai,12th,Mechanical,Graduate,"Teamwork, Leadership","Telugu, Marathi",,Field Work,Social,Internship at XYZ,Employee of the Month,Teamwork,No
9.370000000000001,"React, HTML/CSS",Data Science,Business Analyst,22,Female,Delhi,M.Tech,BBA,Working Professional,Time Management,Telugu,Python,Office,Technical,Part-time Job,,Teamwork,Yes
9.386,"Python, Node.js, SQL",Management,Operations Manager,27,Other,Pune,MBA,ECE,Student,"Time Management, Communication",Marathi,,Office,Social,Internship at XYZ,Awarded Best Project,Problem Solving,No
9.801,"Python, C++",Cybersecurity,Cybersecurity Analyst,30,Male,Bangalore,10th,Commerce,Graduate,"Communication, Time Management",Hindi,"Data Science, GCP",Office,Analytical,Research Assistant,Top Performer,Project Management,Yes
8.178,"Data Analysis, Node.js, HTML/CSS",Cybersecurity,Ethical Hacker,19,Other,Mumbai,MBA,Mechanical,Student,Creativity,Marathi,Full Stack Development,Field Work,Technical,Research Assistant,Hackathon Winner,Programming,No
6.843999999999999,"HTML/CSS, Node.js",Management,Project Manager,23,Female,Delhi,M.Sc,ECE,Graduate,Problem Solving,"Hindi, Telugu",,Remote,Creative,Internship at XYZ,Hackathon Winner,Data Analysis,Yes
7.609,C++,Design,Graphic Designer,24,Male,Mumbai,MBA,Civil,Student,"Communication, Teamwork",Tamil,,Office,Social,Research Assistant,Hackathon Winner,Programming,Yes
9.734,"Python, C++",Software Development,Software Engineer,30,Other,Mumbai,12th,ECE,Student,Leadership,English,AWS,Office,Technical,Part-time Job,,Leadership,No
7.665000000000001,Node.js,AI/ML,Deep Learning Engineer,26,Male,Vizag,B.Tech,IT,Working Professional,"Problem Solving, Communication, Time Management","Telugu, Kannada",,Hybrid,Analytical,Freelance Project,Published Paper,Teamwork,Yes
8.304,"JavaScript, C++, HTML/CSS",Cybersecurity,Cybersecurity Analyst,21,Male,Delhi,M.Sc,BBA,Working Professional,"Problem Solving, Creativity, Leadership","Kannada, Tamil","GCP, Data Science",Remote,Technical,Freelance Project,Top Performer,Teamwork,No
8.446,"SQL, Node.js",Software Development,Full Stack Developer,24,Female,Vizag,B.Tech,IT,Student,Time Management,"Marathi, Kannada",,Hybrid,Analytical,Freelance Project,Awarded Best Project,Problem Solving,No
9.517,"SQL, Data Analysis, React",Data Science,Business Analyst,20,Other,Bangalore,M.Sc,Mechanical,Student,"Teamwork, Creativity",Hindi,,Remote,Analytical,,Awarded Best Project,Data Analysis,Yes
7.276999999999999,"React, Data Analysis, Java",Management,Operations Manager,25,Female,Hyderabad,M.Tech,ECE,Graduate,"Leadership, Communication, Problem Solving","Telugu, Kannada","Azure, Machine Learning",Remote,Social,Internship at XYZ,Awarded Best Project,Data Analysis,Yes
8.224,Python,Management,Project Manager,18,Other,Vizag,B.Tech,ECE,Student,Leadership,Marathi,Machine Learning,Remote,Analytical,Internship at XYZ,,Programming,No
7.045,"Python, Java, Data Analysis",Software Development,Backend Developer,20,Female,Mumbai,12th,Mechanical,Working Professional,Teamwork,"English, Tamil",,Field Work,Social,,Employee of the Month,Teamwork,Yes
5.551,"Node.js, C++",Management,Project Manager,30,Other,Bangalore,B.Tech,EEE,Student,"Creativity, Leadership, Communication","Marathi, Kannada",GCP,Field Work,Analytical,Startup Experience,Top Performer,Data Analysis,No
5.970000000000001,"HTML/CSS, Node.js, Python",Management,Operations Manager,27,Other,Hyderabad,B.Sc,IT,Student,Time Management,Marathi,Azure,Remote,Creative,Internship at XYZ,Employee of the Month,Teamwork,No
7.979000000000001,C++,Software Development,Backend Developer,24,Other,Vizag,12th,BBA,Graduate,Problem Solving,Telugu,,Remote,Creative,Freelance Project,,Problem Solving,No
8.912,"Python, JavaScript, Java",Cybersecurity,Cybersecurity Analyst,27,Other,Mumbai,B.Tech,Commerce,Working Professional,"Communication, Leadership, Time Management",Telugu,"Data Science, Azure",Office,Social,Startup Experience,Employee of the Month,Teamwork,No
8.663,"HTML/CSS, Python",Software Development,Software Engineer,28,Female,Vizag,12th,Mechanical,Graduate,"Teamwork, Communication, Leadership",Kannada,Data Science,Office,Technical,Internship at XYZ,Employee of the Month,Data Analysis,No
6.0280000000000005,"React, Data Analysis, C++",Data Science,Data Analyst,25,Female,Mumbai,12th,EEE,Student,"Creativity, Time Management, Teamwork","English, Hindi",,Remote,Creative,Freelance Project,,Programming,No
7.87,"Python, JavaScript",Management,Project Manager,21,Other,Delhi,B.Sc,ECE,Graduate,"Problem Solving, Creativity","Telugu, English",Data Science,Office,Technical,Research Assistant,Employee of the Month,Problem Solving,Yes
6.288,"C++, Node.js",Cybersecurity,Ethical Hacker,21,Other,Mumbai,MBA,Commerce,Working Professional,"Creativity, Teamwork, Leadership",Marathi,Data Science,Office,Analytical,Part-time Job,Hackathon Winner,Leadership,Yes
7.936,Node.js,AI/ML,Machine Learning Engineer,25,Male,Pune,12th,IT,Graduate,"Teamwork, Communication",Kannada,,Office,Analytical,Startup Experience,Published Paper,Project Management,No
9.413,"JavaScript, HTML/CSS",Design,UI/UX Designer,23,Other,Amalapuram,B.Tech,IT,Graduate,Time Management,"English, Marathi",AWS,Hybrid,Technical,Internship at XYZ,Employee of the Month,Leadership,No
5.13,Java,Marketing,Digital Marketing Specialist,27,Male,Pune,10th,EEE,Student,"Creativity, Leadership","Kannada, English",,Field Work,Social,,Top Performer,Leadership,No
8.115,"Python, JavaScript",Management,Operations Manager,19,Male,Delhi,MCA,CSE,Working Professional,"Time Management, Leadership",Kannada,,Office,Creative,Research Assistant,Top Performer,Programming,Yes
5.006,SQL,Marketing,Digital Marketing Specialist,20,Other,Amalapuram,MBA,IT,Working Professional,Leadership,Kannada,,Office,Technical,Part-time Job,Employee of the Month,Leadership,No
8.292,"C++, React, JavaScript",Software Development,Backend Developer,23,Female,Chennai,MCA,ECE,Working Professional,Teamwork,Telugu,"Machine Learning, GCP",Office,Social,Freelance Project,Awarded Best Project,Problem Solving,Yes
5.9399999999999995,"Node.js, React, HTML/CSS",Data Science,Data Scientist,30,Male,Chennai,MCA,BBA,Graduate,"Communication, Time Management, Creativity","Tamil, English",,Remote,Creative,Internship at XYZ,Hackathon Winner,Teamwork,No
9.662,Python,AI/ML,Deep Learning Engineer,23,Male,Mumbai,12th,EEE,Student,"Leadership, Time Management, Communication",Kannada,,Office,Creative,Part-time Job,,Programming,No
5.7219999999999995,"HTML/CSS, C++, SQL",Management,Project Manager,25,Male,Amalapuram,10th,BBA,Student,Teamwork,Telugu,,Office,Analytical,,Published Paper,Problem Solving,No
6.725,"Data Analysis, Java, HTML/CSS",Cybersecurity,Cybersecurity Analyst,19,Male,Hyderabad,M.Sc,Commerce,Graduate,Time Management,"Tamil, English","Machine Learning, AWS",Office,Analytical,Internship at XYZ,Awarded Best Project,Problem Solving,No
7.1530000000000005,"Python, C++",Cybersecurity,Ethical Hacker,27,Male,Hyderabad,MBA,ECE,Student,"Problem Solving, Creativity, Teamwork","Telugu, Kannada",,Field Work,Technical,Startup Experience,Employee of the Month,Project Management,Yes
6.339,"JavaScript, SQL",Management,Project Manager,20,Male,Hyderabad,10th,Commerce,Working Professional,"Time Management, Creativity","Kannada, Marathi","Full Stack Development, Machine Learning",Hybrid,Social,Startup Experience,Hackathon Winner,Teamwork,Yes
8.095,"HTML/CSS, Node.js",Data Science,Data Analyst,25,Other,Pune,M.Sc,ECE,Working Professional,"Teamwork, Leadership, Time Management","English, Marathi",,Hybrid,Creative,Startup Experience,Hackathon Winner,Programming,Yes
9.104000000000001,"SQL, Node.js, HTML/CSS",Software Development,Backend Developer,26,Other,Delhi,MBA,EEE,Student,"Communication, Teamwork","Tamil, English",,Office,Analytical,Part-time Job,Top Performer,Teamwork,No
8.229000000000001,"Data Analysis, Node.js",Design,Product Designer,30,Female,Hyderabad,B.Sc,Civil,Student,"Leadership, Time Management","Marathi, Tamil","GCP, Machine Learning",Hybrid,Social,Part-time Job,Hackathon Winner,Leadership,No
5.168,"Python, Java, Node.js",Management,Project Manager,22,Other,Amalapuram,10th,Mechanical,Graduate,Time Management,Telugu,Azure,Field Work,Analytical,Research Assistant,,Programming,Yes
9.838,"SQL, Python, C++",Data Science,Data Scientist,27,Other,Mumbai,B.Sc,IT,Student,Communication,Tamil,"Python, AWS",Hybrid,Social,,Hackathon Winner,Teamwork,Yes
6.044,"Java, C++",Marketing,Marketing Executive,19,Female,Vizag,M.Tech,EEE,Working Professional,"Teamwork, Creativity, Communication","Telugu, Kannada","Full Stack Development, GCP",Remote,Technical,Startup Experience,Published Paper,Leadership,No
5.307,"React, C++, JavaScript",Cybersecurity,Security Engineer,23,Male,Mumbai,M.Tech,Mechanical,Working Professional,"Teamwork, Communication, Time Management","English, Kannada","Data Science, Python",Hybrid,Creative,Internship at XYZ,Published Paper,Leadership,No
8.179,HTML/CSS,Cybersecurity,Ethical Hacker,30,Other,Vizag,MCA,Mechanical,Student,Teamwork,"Telugu, Hindi",Full Stack Development,Field Work,Technical,Part-time Job,Top Performer,Problem Solving,Yes
5.807,"Data Analysis, Python",Cybersecurity,Cybersecurity Analyst,21,Other,Vizag,B.Sc,BBA,Graduate,"Communication, Creativity",Marathi,"GCP, Azure",Hybrid,Technical,Freelance Project,,Problem Solving,Yes
8.555,"JavaScript, HTML/CSS",Management,Project Manager,20,Male,Hyderabad,10th,CSE,Student,"Communication, Creativity, Teamwork","Tamil, Kannada",Python,Remote,Creative,Freelance Project,Published Paper,Leadership,Yes
7.2829999999999995,"React, Node.js, JavaScript",Data Science,Business Analyst,18,Other,Pune,12th,Mechanical,Working Professional,"Time Management, Creativity, Leadership",Hindi,Data Science,Remote,Technical,Research Assistant,Awarded Best Project,Project Management,Yes
7.815,Java,Management,Business Manager,22,Other,Amalapuram,B.Sc,Mechanical,Working Professional,"Problem Solving, Teamwork","Hindi, Marathi","Azure, Python",Office,Technical,Freelance Project,Top Performer,Data Analysis,No
9.643,JavaScript,Software Development,Frontend Developer,27,Other,Mumbai,MCA,Mechanical,Graduate,"Communication, Leadership, Teamwork","Hindi, English","Python, AWS",Field Work,Analytical,Freelance Project,Top Performer,Teamwork,No
9.545,HTML/CSS,Management,Business Manager,22,Male,Amalapuram,M.Sc,Commerce,Student,"Leadership, Problem Solving",English,"Azure, Data Science",Office,Social,Freelance Project,,Project Management,No
6.093999999999999,"Node.js, Data Analysis",Design,Graphic Designer,28,Other,Delhi,B.Sc,CSE,Graduate,"Problem Solving, Teamwork, Communication","Telugu, Tamil","Python, Machine Learning",Hybrid,Social,Startup Experience,Top Performer,Problem Solving,No
6.578,SQL,Management,Project Manager,28,Male,Pune,MCA,EEE,Student,Creativity,"Hindi, Tamil",,Field Work,Creative,Internship at XYZ,Published Paper,Programming,Yes
7.297,"Python, Data Analysis",Management,Operations Manager,18,Female,Delhi,10th,ECE,Student,"Problem Solving, Leadership",Hindi,"Full Stack Development, Data Science",Field Work,Creative,Research Assistant,Hackathon Winner,Project Management,Yes
8.064,Python,AI/ML,Deep Learning Engineer,20,Female,Delhi,B.Sc,IT,Working Professional,Creativity,"Kannada, English","Data Science, AWS",Remote,Analytical,Freelance Project,Hackathon Winner,Leadership,Yes
7.090000000000001,"Java, Python, Data Analysis",AI/ML,Deep Learning Engineer,29,Male,Vizag,MCA,CSE,Working Professional,"Teamwork, Time Management","Marathi, Tamil","Full Stack Development, AWS",Field Work,Social,Part-time Job,,Project Management,Yes
6.4670000000000005,Java,Data Science,Data Scientist,21,Female,Delhi,MCA,EEE,Graduate,"Leadership, Teamwork, Creativity","Marathi, Hindi",AWS,Remote,Creative,Research Assistant,Published Paper,Leadership,No
9.120000000000001,"Data Analysis, C++, Java",Management,Project Manager,23,Female,Pune,MBA,Mechanical,Student,Leadership,Marathi,Full Stack Development,Hybrid,Creative,Part-time Job,Published Paper,Problem Solving,No
8.961,"SQL, C++",Design,Product Designer,20,Male,Delhi,M.Tech,ECE,Student,"Time Management, Teamwork, Creativity",Kannada,,Field Work,Creative,Internship at XYZ,Awarded Best Project,Leadership,Yes
8.324,"C++, Data Analysis, Node.js",AI/ML,Machine Learning Engineer,28,Other,Pune,12th,ECE,Working Professional,Teamwork,"Kannada, Telugu",,Field Work,Creative,Part-time Job,Employee of the Month,Leadership,Yes
7.877,"Data Analysis, Java",Data Science,Data Scientist,18,Male,Amalapuram,MCA,BBA,Working Professional,"Teamwork, Problem Solving, Leadership",English,"AWS, GCP",Office,Analytical,Research Assistant,Employee of the Month,Problem Solving,No
6.311999999999999,"Node.js, Java, Data Analysis",Design,Graphic Designer,24,Other,Hyderabad,12th,IT,Student,"Creativity, Time Management, Problem Solving",Kannada,Full Stack Development,Remote,Analytical,Part-time Job,Hackathon Winner,Data Analysis,Yes
7.478,"Python, React",AI/ML,AI Researcher,24,Female,Bangalore,MCA,EEE,Working Professional,"Leadership, Time Management, Creativity",English,,Field Work,Creative,Freelance Project,,Leadership,No
5.652,"JavaScript, Node.js, Python",Marketing,Marketing Executive,19,Other,Delhi,MBA,IT,Graduate,Creativity,"Tamil, Kannada",Data Science,Field Work,Social,Internship at XYZ,Hackathon Winner,Data Analysis,No
7.4159999999999995,C++,Management,Project Manager,28,Other,Bangalore,B.Tech,CSE,Working Professional,Teamwork,"Marathi, Telugu","AWS, Azure",Field Work,Technical,Research Assistant,Top Performer,Programming,Yes
7.353,"React, Data Analysis, Java",Management,Business Manager,26,Other,Hyderabad,MCA,BBA,Working Professional,Creativity,Telugu,Data Science,Hybrid,Technical,Startup Experience,,Data Analysis,Yes
5.275,"React, Python",Software Development,Software Engineer,19,Female,Bangalore,M.Tech,CSE,Student,"Leadership, Problem Solving",Telugu,Full Stack Development,Field Work,Technical,Internship at XYZ,Awarded Best Project,Programming,Yes
6.634,SQL,Management,Project Manager,30,Other,Vizag,M.Tech,CSE,Working Professional,"Problem Solving, Leadership",Kannada,,Office,Technical,,Published Paper,Leadership,Yes
7.515000000000001,Data Analysis,Management,Business Manager,30,Male,Hyderabad,MBA,EEE,Graduate,Leadership,"Hindi, Kannada",Full Stack Development,Remote,Social,,,Leadership,Yes
5.539,"HTML/CSS, Python, Node.js",Data Science,Data Analyst,25,Male,Delhi,B.Sc,CSE,Student,Leadership,"Telugu, Kannada",,Field Work,Creative,Part-time Job,Hackathon Winner,Programming,Yes
8.651,"Node.js, Java, React",Marketing,Digital Marketing Specialist,18,Male,Hyderabad,B.Tech,CSE,Student,"Creativity, Teamwork, Problem Solving",Kannada,,Office,Creative,Part-time Job,Hackathon Winner,Problem Solving,No
9.492,"JavaScript, React, C++",Cybersecurity,Cybersecurity Analyst,24,Other,Chennai,B.Tech,CSE,Graduate,"Problem Solving, Creativity, Time Management","English, Marathi",,Remote,Technical,Startup Experience,Published Paper,Project Management,Yes
7.1530000000000005,Data Analysis,Management,Operations Manager,23,Female,Amalapuram,M.Sc,ECE,Student,"Problem Solving, Communication, Creativity",Hindi,AWS,Hybrid,Analytical,,Top Performer,Programming,No
8.48,"HTML/CSS, C++",Marketing,Digital Marketing Specialist,18,Male,Pune,MCA,BBA,Student,"Problem Solving, Time Management",English,AWS,Hybrid,Social,Startup Experience,,Data Analysis,No
7.0409999999999995,"JavaScript, SQL, C++",Management,Operations Manager,20,Other,Delhi,B.Tech,Mechanical,Graduate,"Creativity, Time Management",Tamil,,Hybrid,Analytical,Freelance Project,,Leadership,No
7.188,C++,Design,Graphic Designer,18,Male,Vizag,10th,Commerce,Graduate,"Teamwork, Leadership","Telugu, Tamil",AWS,Field Work,Technical,,Top Performer,Project Management,No
5.436999999999999,Python,Data Science,Data Analyst,29,Male,Pune,B.Tech,IT,Graduate,"Leadership, Time Management, Problem Solving",Hindi,Data Science,Field Work,Creative,Research Assistant,Hackathon Winner,Leadership,No
7.648000000000001,"JavaScript, Python",Marketing,SEO Analyst,27,Female,Mumbai,B.Tech,EEE,Student,"Leadership, Communication, Creativity",English,,Hybrid,Analytical,Startup Experience,Top Performer,Problem Solving,No
6.045,SQL,Management,Project Manager,23,Male,Chennai,10th,Commerce,Graduate,"Problem Solving, Time Management",Kannada,,Field Work,Social,Internship at XYZ,,Programming,Yes
6.039,"Node.js, JavaScript",Management,Project Manager,23,Female,Chennai,B.Sc,ECE,Graduate,"Creativity, Problem Solving",Marathi,"Full Stack Development, AWS",Hybrid,Technical,Internship at XYZ,Published Paper,Programming,Yes
7.2829999999999995,"Java, Python, Data Analysis",Data Science,Data Analyst,20,Male,Pune,B.Sc,Mechanical,Graduate,Creativity,"Tamil, Hindi",,Hybrid,Social,Research Assistant,Top Performer,Teamwork,No
7.476999999999999,"C++, Python",Data Science,Data Analyst,30,Female,Amalapuram,10th,EEE,Student,"Communication, Teamwork, Leadership","Telugu, English","Azure, Machine Learning",Remote,Technical,Internship at XYZ,Employee of the Month,Problem Solving,Yes
9.274,"Data Analysis, C++",Data Science,Data Scientist,20,Female,Delhi,B.Tech,EEE,Graduate,"Leadership, Communication, Teamwork","English, Marathi","Machine Learning, Full Stack Development",Remote,Technical,Research Assistant,Top Performer,Project Management,No
8.025,"Python, SQL",AI/ML,Machine Learning Engineer,28,Female,Bangalore,10th,CSE,Graduate,"Leadership, Problem Solving","English, Marathi",GCP,Field Work,Social,Internship at XYZ,,Project Management,Yes
6.4719999999999995,Java,AI/ML,AI Researcher,24,Other,Mumbai,MCA,Mechanical,Student,"Creativity, Teamwork","English, Kannada","GCP, Python",Hybrid,Technical,Internship at XYZ,,Teamwork,No
9.33,"React, Data Analysis",Software Development,Frontend Developer,20,Other,Pune,MCA,Commerce,Graduate,"Time Management, Problem Solving, Communication",Kannada,,Hybrid,Creative,Research Assistant,Hackathon Winner,Programming,Yes
9.481,"Java, SQL, Node.js",Marketing,SEO Analyst,21,Male,Delhi,B.Sc,BBA,Student,"Leadership, Teamwork",English,,Field Work,Social,Freelance Project,Awarded Best Project,Project Management,Yes
8.572,"SQL, HTML/CSS, C++",Management,Project Manager,19,Male,Pune,MBA,BBA,Working Professional,Creativity,Tamil,Python,Office,Social,Research Assistant,Hackathon Winner,Leadership,No
8.868,"HTML/CSS, React",Cybersecurity,Security Engineer,24,Male,Amalapuram,MBA,ECE,Student,"Teamwork, Communication","Telugu, Kannada",Data Science,Field Work,Analytical,Freelance Project,Published Paper,Problem Solving,No
9.89,Python,Design,Product Designer,27,Other,Vizag,10th,Mechanical,Student,Leadership,"Telugu, Hindi","GCP, Full Stack Development",Office,Analytical,Part-time Job,Awarded Best Project,Leadership,No
6.9510000000000005,"JavaScript, Node.js, Data Analysis",Data Science,Data Scientist,26,Other,Hyderabad,10th,Commerce,Working Professional,"Time Management, Teamwork, Communication","Hindi, Tamil",,Field Work,Technical,,Published Paper,Leadership,Yes
9.458,"Python, Node.js",Cybersecurity,Ethical Hacker,28,Male,Hyderabad,12th,Civil,Graduate,"Teamwork, Leadership","Hindi, English",,Remote,Technical,Startup Experience,Hackathon Winner,Data Analysis,Yes
9.336,"Python, JavaScript, React",Data Science,Business Analyst,24,Male,Vizag,MCA,Civil,Graduate,"Creativity, Communication","Marathi, Tamil",Azure,Hybrid,Analytical,Freelance Project,,Problem Solving,No
9.099,"SQL, Java, Data Analysis",Design,Graphic Designer,30,Other,Chennai,M.Sc,IT,Graduate,"Problem Solving, Teamwork",Hindi,,Office,Social,Internship at XYZ,Published Paper,Project Management,Yes
6.393,Java,Design,UI/UX Designer,19,Female,Pune,B.Sc,BBA,Graduate,"Teamwork, Communication","English, Kannada",AWS,Field Work,Social,,Hackathon Winner,Project Management,Yes
5.8759999999999994,"HTML/CSS, JavaScript",AI/ML,AI Researcher,28,Female,Chennai,B.Tech,Commerce,Student,Problem Solving,Telugu,,Hybrid,Technical,Internship at XYZ,Hackathon Winner,Data Analysis,Yes
8.75,"Python, Data Analysis",Design,Product Designer,28,Other,Chennai,M.Tech,EEE,Working Professional,Leadership,"English, Tamil","GCP, Python",Hybrid,Social,Freelance Project,Published Paper,Programming,Yes
9.531,"Data Analysis, JavaScript",Data Science,Business Analyst,25,Female,Mumbai,B.Sc,Commerce,Graduate,"Creativity, Leadership",English,,Hybrid,Social,Part-time Job,Published Paper,Problem Solving,Yes
5.468999999999999,"C++, Java, Node.js",Marketing,SEO Analyst,25,Other,Mumbai,MCA,Mechanical,Graduate,Problem Solving,"Kannada, Marathi",Data Science,Field Work,Social,Part-time Job,Hackathon Winner,Leadership,No
5.314,"Data Analysis, JavaScript, C++",Marketing,Marketing Executive,21,Male,Vizag,M.Tech,ECE,Student,Time Management,Telugu,Data Science,Hybrid,Social,Freelance Project,Employee of the Month,Data Analysis,Yes
5.136,C++,Design,UI/UX Designer,25,Male,Bangalore,B.Tech,EEE,Student,Time Management,"Kannada, Tamil",,Office,Analytical,,Published Paper,Problem Solving,Yes
5.965999999999999,"HTML/CSS, Data Analysis",Data Science,Business Analyst,19,Male,Pune,MCA,BBA,Student,"Leadership, Time Management","Hindi, English","Python, Azure",Field Work,Social,Part-time Job,Published Paper,Problem Solving,Yes
8.696,"C++, HTML/CSS",Design,Product Designer,19,Female,Chennai,MCA,IT,Graduate,Teamwork,Hindi,,Field Work,Social,Internship at XYZ,Top Performer,Problem Solving,No
